,mean,variance
amount,399.73422234757015,79669.81889948255
oldbalanceOrg,5004.010846450733,2252628.641124452
newbalanceOrig,4644.275348071686,2317848.241369429
oldbalanceDest,2000.0537354790267,1000713.4989327858
newbalanceDest,2339.786458524528,1059190.7440296689
amount_log,5.725405254150661,0.6362974724253432
balance_delta_org,359.7354983790463,65354.37047690057
balance_delta_dest,339.73272304550113,59283.0106727803
amount_to_org_balance_ratio,0.09095584420630892,0.007494355414785234
amount_to_dest_balance_ratio,0.42163371579187975,2.9277071309114673
is_large_transaction,0.05,0.04750019000075999
mean_shift_score,0.7635956450942727,0.39911863961315486
outlier_flag_amount,0.031296,0.030316681650726606
outlier_flag_balance_delta_org,0.03168,0.030676500306001213
outlier_flag_balance_delta_dest,0.032512,0.031455095676382716
