transaction_id,score,top_3_shap_features,plain_english_reason,fraud_archetype_guess,risk_score_band,suggested_action
row_32,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_134,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_206,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_257,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_268,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_331,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_400,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_523,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_573,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_660,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_680,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_693,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_699,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_730,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_731,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_794,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_850,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_880,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_901,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_963,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_969,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1024,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1075,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1135,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_1177,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1363,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1453,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_1476,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_1531,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1682,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1696,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1701,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1773,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1801,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1804,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_1833,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1891,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1963,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_1971,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_1997,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_2016,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_2077,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_2181,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_2248,1.0,"['amount', 'newbalanceOrig', 'amount_vs_sender_avg']",amount is much higher than the sender's normal behavior,General Fraud Anomaly,critical,block
row_2330,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
row_2382,1.0,"['amount', 'newbalanceOrig', 'oldbalanceDest']",multiple behavioral risk signals increased fraud likelihood,General Fraud Anomaly,critical,block
