,mean,var,iqr
step,371.42232,46163.510236022325,373.0
amount,420.8661849913044,270612.18590934714,329.82220311282606
oldbalanceOrg,6198.6557532518955,2898337.062617171,2304.6298095047187
newbalanceOrig,5832.53701539003,3225722.2202293104,2340.757251832706
oldbalanceDest,2392.2823865855103,1195127.1763747146,1502.9608116484117
newbalanceDest,2739.981330615763,1317476.4266063233,1526.5506906820744
amount_log,5.711817601267288,0.6674370090336783,1.0090673085503257
balance_delta_org,366.1187378618656,312659.03879618633,277.9613320548917
balance_delta_dest,347.6989440302522,271694.25648564234,266.50687943341615
amount_to_org_balance_ratio,0.07552228118928253,0.010029161811020815,0.05868971681241884
amount_to_dest_balance_ratio,5265060.647717852,2810814490834526.0,0.18447126221708163
is_large_transaction,0.04974,0.04726687773755475,0.0
mean_shift_score,0.42531722453276377,0.7173385025477074,0.32266666300050406
outlier_flag_amount,0.0375,0.036094471889437804,0.0
outlier_flag_balance_delta_org,0.03874,0.03723995719914399,0.0
outlier_flag_balance_delta_dest,0.03896,0.03744286725734514,0.0
