step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,is_fraud
190,TRANSFER,857.22,3274.87,2480.68,3377.74,4047.2,0
594,CASH_OUT,506.9,6067.97,5568.25,1997.75,2443.48,0
697,CASH_OUT,291.24,3227.78,2937.65,2815.32,3057.8,0
422,CASH_OUT,457.24,4150.56,3780.9,1298.23,1651.83,0
625,CASH_OUT,536.41,4063.09,3586.23,2765.96,3283.51,0
103,CASH_OUT,437.21,6987.72,6590.12,1238.01,1593.1,0
653,PAYMENT,464.82,5495.43,5109.93,3090.66,3478.23,0
420,DEBIT,637.94,4682.4,4129.14,4210.64,4735.61,0
165,DEBIT,253.97,5748.08,5494.74,1877.92,2069.56,0
46,PAYMENT,77.15,1839.21,1777.24,-192.54,-121.6,0
535,TRANSFER,622.01,4935.3,4381.4,1451.93,1971.02,0
321,DEBIT,76.43,7996.27,7922.25,3231.88,3285.75,0
231,TRANSFER,211.77,5198.52,5015.39,2553.08,2762.56,0
290,DEBIT,458.7,5101.87,4690.89,2248.91,2682.26,0
737,DEBIT,468.41,5822.19,5355.84,3008.67,3438.23,0
318,DEBIT,262.31,6343.41,6108.65,2484.45,2736.46,0
59,PAYMENT,311.59,2003.8,1746.37,3217.73,3520.61,0
208,TRANSFER,430.47,2476.51,2127.68,2919.42,3264.33,0
109,CASH_OUT,185.32,5315.44,5132.14,3521.7,3685.39,0
510,DEBIT,955.62,3927.69,3112.39,2358.8,3202.27,0
595,PAYMENT,152.65,6968.04,6830.53,2905.26,3024.36,0
625,TRANSFER,286.33,4527.24,4292.98,1692.87,1912.37,0
471,PAYMENT,231.63,2098.2,1893.27,1398.54,1568.6,0
572,DEBIT,368.45,3097.98,2734.68,3706.77,4037.56,0
311,DEBIT,922.55,875.49,44.75,2216.2,3078.12,0
467,PAYMENT,144.6,4648.81,4505.04,2804.88,2939.11,0
80,PAYMENT,464.3,4717.42,4321.94,2123.74,2492.8,0
400,TRANSFER,526.51,4363.31,3888.97,1413.48,1814.46,0
415,DEBIT,726.21,6618.32,5912.51,2010.98,2618.15,0
24,TRANSFER,168.7,6797.78,6647.7,3435.99,3581.75,0
408,TRANSFER,162.28,4744.42,4605.52,2555.24,2713.58,0
538,TRANSFER,289.17,1797.96,1517.15,288.53,566.84,0
274,CASH_OUT,293.9,5925.92,5667.88,1784.76,2071.26,0
405,TRANSFER,134.85,5833.04,5710.85,3782.29,3911.08,0
213,PAYMENT,535.38,5464.09,4931.22,1786.2,2315.89,0
202,DEBIT,498.67,6472.22,6054.69,199.52,618.23,0
97,TRANSFER,1183.25,3252.76,2234.83,3893.05,4738.18,0
244,TRANSFER,260.17,8013.13,7803.38,2682.39,2871.03,0
597,CASH_OUT,131.53,3560.86,3445.33,1929.99,2037.46,0
696,CASH_OUT,152.48,6123.83,5995.74,1628.58,1747.1,0
473,PAYMENT,427.31,2468.98,2069.01,3082.35,3403.25,0
464,PAYMENT,172.17,3604.6,3460.62,1458.02,1627.77,0
457,PAYMENT,563.02,7274.55,6748.15,3148.26,3575.38,0
354,DEBIT,191.57,4608.65,4445.3,2542.2,2731.44,0
315,CASH_OUT,384.26,6259.88,5925.17,2244.68,2601.37,0
462,DEBIT,316.09,5355.43,5080.5,2145.51,2427.55,0
583,CASH_OUT,150.82,4842.56,4700.28,1825.03,1961.19,0
308,TRANSFER,81.13,7045.78,6973.31,3045.64,3110.5,0
