step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type,is_fraud
727,392.74205248297034,10712.873406282739,10376.747214588422,1111.2913562182066,1376.080928870206,TRANSFER,0
483,190.8756205961317,5454.880284094566,5268.666855026341,1784.594195637807,1919.2676704070277,TRANSFER,0
23,289.5374367360306,6645.046107426229,6412.863474286387,3009.6265518434434,3200.521118344134,CASH_OUT,0
97,323.36530761007987,6113.5663304865375,5851.539840860385,1291.4160362177881,1538.34505335816,PAYMENT,0
502,545.2490964043578,3691.359303609148,3162.5095038667864,3033.5483201226043,3520.103904863722,PAYMENT,0
485,437.8619561757384,5595.616193716816,5283.192440000447,1463.7815604393186,1825.9793743508235,CASH_OUT,0
273,192.05975199916458,8159.984689606112,8005.383064537048,2549.601985468357,2695.5354749023004,CASH_OUT,0
481,397.83560721185637,8613.725700377057,8277.36534537223,865.4651522899346,1236.3854907061786,TRANSFER,0
267,86.20040077897845,9627.09590663153,9565.723917941032,1105.8559567588454,1163.845973954669,PAYMENT,0
349,68.8005892501014,1863.1229389676764,1813.8729324913293,2579.413226004377,2628.2143855714307,TRANSFER,0
133,517.9369417046752,8495.138726276555,7990.36671935766,3331.034877489208,3670.0484331591842,CASH_OUT,0
714,366.459899971558,3044.3502905939295,2753.631747504796,2127.1193884315417,2452.7307386497755,PAYMENT,0
466,81.23943785326394,4791.41607879903,4712.905239711458,2598.3598872884127,2654.11917501887,PAYMENT,0
203,177.27926240759803,6818.83967665313,6668.687102416879,448.0393552250546,570.1714228211912,CASH_OUT,0
501,226.97175021873147,5375.953862616673,5214.236983061362,2340.207411711651,2544.3383101989853,PAYMENT,0
429,242.4805771781642,4436.357439175999,4234.838756401688,2054.7242627681217,2276.4584292796535,PAYMENT,0
210,452.6080549854413,7844.857730322228,7435.643880225237,958.8032308994714,1328.270629023751,TRANSFER,0
97,375.96694279618595,4900.895067384326,4634.632527221598,2129.8397892781904,2382.3328791328636,CASH_OUT,0
506,399.82293283214244,9887.696960408615,9592.786715234848,2225.5868995766155,2540.953843937239,PAYMENT,0
288,588.5090825379258,7831.888361310452,7364.422350959183,3550.103140304956,4011.082593972631,TRANSFER,0
195,178.90220751995835,6252.717713870607,6119.672861279706,1706.6324776535698,1870.0864931108329,TRANSFER,0
198,192.51981114267352,6070.582496610837,5901.0871803397,1585.0553889799012,1717.3954030653354,PAYMENT,0
117,160.10342502863384,4132.008133656209,3997.5195948422715,2858.695544966014,3005.2151003659237,PAYMENT,0
518,75.63252127141989,5639.708239531529,5573.263192993566,2804.9208622896135,2855.265363474659,TRANSFER,0
700,1531.145718500197,4440.61263266325,2995.2684992511804,2482.0096461717626,3602.1796314233093,CASH_OUT,0
568,353.0351134361114,7670.698459349493,7407.853835358973,1893.5351987377892,2197.347863140719,PAYMENT,0
163,658.509990832951,8282.713821373296,7642.992180460348,2548.3627427041633,3099.418340680091,PAYMENT,0
640,195.2895399560773,7427.5903324153205,7264.276895936103,4178.313961535611,4315.18306386141,CASH_OUT,0
359,646.2664332712397,6266.031971641379,5698.299403889226,1889.7507120802702,2418.3956320498246,DEBIT,0
185,38.88199371790368,5443.212018886892,5414.486829204242,1282.24611588766,1308.13514185412,PAYMENT,0
322,445.49163678479454,6743.095322543869,6374.344765792743,2676.390654519054,2990.314822551053,DEBIT,0
483,1520.9624310031645,8140.6299281611155,6929.066429438588,2773.6847491856834,3806.2931268533393,TRANSFER,0
488,518.2518567725766,6564.962900008389,6097.277443966354,1916.143461199692,2333.818489230272,DEBIT,0
377,80.91214226383283,4915.700000012811,4857.611048601669,939.7950690136267,997.4773309650024,PAYMENT,0
340,96.47861573305232,5312.672695007992,5236.423296402346,3668.744662318689,3748.170418422764,DEBIT,0
